doi,title,url,registered,status,errors
10.48813/fp7e-1e92,Metadata - úvod,https://repozitar.techlib.cz/record/1736,2023-06-14T09:58:02Z,ok
10.48813/qdam-ex42,Open Science in the Programme EXCELES,https://repozitar.techlib.cz/record/1724,2023-05-17T13:53:43Z,ok
10.48813/cav2-4r86,Milestones of grey literature in the Czech Republic,https://repozitar.techlib.cz/record/1325?ln=cs,2023-01-18T12:25:06Z,ok
10.48813/q9p7-y061,KRECon Communiqué on Doctoral Education (2022),https://repozitar.techlib.cz/record/1680,2022-12-12T12:06:06Z,ok
10.48813/qtb7-rj71,ORCID a GDPR,https://repozitar.techlib.cz/record/1641,2022-10-21T13:45:16Z,ok
10.48813/exvg-ys33,Towards a European framework for research careers,https://repozitar.techlib.cz/record/1683,2022-12-16T12:02:56Z,ok
10.48813/edme-tr72,Doctoral Education Today: what Challenges are we still facing?,https://repozitar.techlib.cz/record/1673,2022-12-09T14:32:55Z,ok
10.48813/101e-af86,Early-Career Researchers Strategy and Implementation at UCL and Beyond,https://repozitar.techlib.cz/record/1670,2022-12-09T12:46:37Z,ok
10.48813/4y9y-qe39,Consortial Value and U.S. Consortial Collaborations,https://repozitar.techlib.cz/record/1650,2022-11-11T09:37:43Z,ok
10.48813/y0cf-a446,Vote with your feet: How the Netherlands managed to become a frontrunner in the transition to Open Access,https://repozitar.techlib.cz/record/1651,2022-11-11T09:41:59Z,ok
10.48813/7bh4-1f71,The power of the library consortium: Enabling the open access transition via transformative agreements,https://repozitar.techlib.cz/record/1652,2022-11-11T09:45:23Z,ok
10.48813/3e5f-hx59, Závěrečná konference projektu CzechElib - diskuse II,https://repozitar.techlib.cz/record/1656,2022-11-11T10:04:44Z,ok
10.48813/91dm-4898,Závěrečná konference projektu CzechElib: Úvodní slovo,https://repozitar.techlib.cz/record/1649,2022-11-11T08:55:21Z,ok
10.48813/mj2f-3a67,CzechElib pohledem VŠ knihoven / Jaké změny přinesl a zaznamenal CzechElib v pořizování EIZ,https://repozitar.techlib.cz/record/1654,2022-11-11T09:54:57Z,ok
10.48813/xk5v-p407, CzechElib - systémová změna,https://repozitar.techlib.cz/record/1655,2022-11-11T10:00:04Z,ok
10.48813/hrcm-7y03,ESIF as a change driver,https://repozitar.techlib.cz/record/1648,2022-11-11T08:40:55Z,ok
10.48813/mx5m-d522,Závěrečná konference projektu CzechElib - diskuse I,https://repozitar.techlib.cz/record/1657,2022-11-11T10:08:23Z,ok
10.48813/gqyh-3j50,Závěrečná konference projektu CzechElib,https://repozitar.techlib.cz/record/1646,2022-11-11T08:14:05Z,ok
10.48813/xqhj-cb70, CzechElib z pohledu EU,https://repozitar.techlib.cz/record/1653,2022-11-11T09:51:20Z,ok
10.48813/4141-2063,Evaluace projektu CzechElib zpracovaná pro MŠMT,https://repozitar.techlib.cz/record/1647,2022-11-11T08:30:58Z,ok
10.48813/k2xs-y923,Národní podpora implementace perzistentních identifikátorů,https://repozitar.techlib.cz/record/1640,2022-10-19T09:58:59Z,ok
10.48813/zk25-nv53,Open Science in the Programme EXCELES,https://repozitar.techlib.cz/record/1630,2022-09-23T13:58:49Z,ok
10.48813/yt6w-6h15,Obecné doporučení pro metadatový popis výzkumných výstupů a výzkumných dat,http://repozitar.techlib.cz/record/1600,2022-02-25T12:19:33Z,ok
10.48813/sstg-4g21,Data Management Plan template,http://repozitar.techlib.cz/record/1601,2022-02-25T12:14:45Z,ok
10.48813/kkrk-mw61,Open Science and Open/FAIR Data for Early-Career Researchers,https://repozitar.techlib.cz/record/1625,2022-07-20T14:45:01Z,ok
10.48813/pj10-bw81,Podpora výuky chemie v Národní technické knihovně,https://repozitar.techlib.cz/record/1603,2022-05-03T13:26:15Z,ok
10.48813/01vy-sw14,Příprava a vyjednávání transformačních smluv pro přechod na Open Access,http://repozitar.techlib.cz/record/1607,2022-04-04T09:47:25Z,ok
10.48813/6erb-z009,Analýza účelnosti a zájmu o centralizované zajišťování perzistentního identifikátoru ORCID iD,http://repozitar.techlib.cz/record/1597,2022-02-18T10:19:38Z,ok
10.48813/80s4-bv02,Otevřená věda: analýza mezinárodního prostředí,http://repozitar.techlib.cz/record/1595,2022-02-18T10:05:27Z,ok
10.48813/9e4m-4m21, Finanční analýza prostředků v oblasti přístupu k vědeckým informacím,http://repozitar.techlib.cz/record/1604,2022-03-17T13:02:06Z,ok
10.48813/pas9-kw71,Analýza PEST: situace a výhled České republiky v souvislosti s globální proměnou ekonomické a společenské situace důsledkem disruptivních technologických změn a nástupu čtvrté průmyslové revoluce,http://repozitar.techlib.cz/record/1596,2022-02-18T10:22:22Z,ok
